Date,Open,High,Low,Close,Volume
2026-01-01,1465.3912740576486,1479.115244230037,1412.555548062396,1450.0,4972079
2026-01-02,1461.972307063234,1450.9097842734968,1406.9712483442477,1450.0606624528546,1450641
2026-01-03,1446.6017760981617,1466.5980698068495,1422.6881807914035,1447.840167546868,1236046
2026-01-04,1453.4035392772282,1462.3798440854557,1430.8798737441093,1449.7366212857435,2458593
2026-01-05,1442.4739436218738,1464.6404325085703,1392.684044974887,1448.5269998470262,3986696
2026-01-06,1463.1324451571677,1487.1244003118343,1429.806066125085,1451.9293271868391,2079056
2026-01-07,1443.2894849246893,1490.4157087996787,1409.6472580163545,1449.3098335749112,1365590
2026-01-08,1443.2948709394454,1511.1319705469004,1434.2924728078333,1449.3172081927612,2732283
2026-01-09,1457.3726237396204,1459.3541238306589,1437.7893739243568,1452.4330751466928,4529089
2026-01-10,1435.8844642432978,1481.8896739114946,1434.2595355954152,1451.5014091460791,1551532
2026-01-11,1466.063260464502,1493.222138894055,1399.7188956507587,1452.7777369537353,2076398
2026-01-12,1495.7914709615793,1477.628232058437,1421.3707787599542,1454.642810913058,4331835
2026-01-13,1470.8299681356775,1503.0557285425368,1395.9241817880345,1456.0902395104897,3922815
2026-01-14,1445.1865762805949,1493.429793119605,1414.9872127023064,1453.8849325093513,2553380
2026-01-15,1444.446875615299,1497.497282070638,1406.1786412696242,1451.5642076894203,4953076
2026-01-16,1432.9231287153927,1486.3707452854428,1429.1154119970818,1453.233126804062,4199837
2026-01-17,1465.0908095972227,1468.7705455298506,1437.3606265560807,1454.4352865200208,4322502
2026-01-18,1457.2783088897047,1473.1745684505383,1422.1919031483894,1454.1551061542505,2840935
2026-01-19,1433.8946349922091,1457.5233554054369,1414.3691912645725,1453.4898460137763,3074654
2026-01-20,1479.0557550720455,1505.1623750790968,1426.0206699833823,1455.1182031533142,1805178
2026-01-21,1452.6644635447424,1485.6984339210294,1432.3720418019634,1454.2116030135446,3459166
2026-01-22,1461.6789255862361,1506.4544395240255,1414.7127824689137,1453.543146206849,4922960
2026-01-23,1461.6530740093033,1503.4199400476118,1429.5890599917439,1452.124130586839,1546122
2026-01-24,1443.732101677032,1479.3619799092155,1417.0282596375791,1446.1923495730384,4411581
2026-01-25,1428.23605625891,1470.8521386963464,1425.9639737075422,1450.2904248364703,4808647
2026-01-26,1460.0952522472207,1469.0350233779143,1413.1423267759521,1448.079560731419,2335487
2026-01-27,1427.7591001955818,1495.2272914855043,1403.2431006642444,1448.8539850070892,1874757
2026-01-28,1440.7855003409697,1473.4214754333361,1387.5534618128752,1445.9055135423598,2702684
2026-01-29,1441.8057801090192,1482.2782394774827,1408.4154165751108,1445.439064511108,2227576
2026-01-30,1465.3802078220278,1485.685998674107,1419.494926189046,1447.9729620975197,4636765
2026-01-31,1435.9705653220647,1459.7683105114647,1438.1806812143832,1452.1095811368286,4260084
2026-02-01,1450.776557195187,1485.8304576021642,1413.4267709741373,1451.702650783019,1001265
2026-02-02,1451.0365320243925,1469.0531492101193,1420.1035049421635,1450.5656687940032,1497217
2026-02-03,1440.998679786191,1479.387547446546,1410.890229743761,1451.2118481047244,1797127
2026-02-04,1454.636760780234,1501.0270607137509,1410.5644692225135,1449.7787661344512,4138996
2026-02-05,1461.1298394077896,1470.7543281233827,1423.7639061796626,1451.253652265663,1409350
2026-02-06,1483.6092305120033,1466.8525707204353,1425.5181483420902,1451.8935177993098,1824126
2026-02-07,1440.8817885554097,1470.1892232892744,1433.2153375716755,1451.295400513813,1868507
2026-02-08,1482.9574966237046,1494.675162460108,1446.7561533843266,1454.261229165642,2720425
2026-02-09,1489.6776699549453,1473.6981701176385,1412.4618493187302,1452.6445914501091,1680340
2026-02-10,1444.8743517401076,1488.9333000489505,1430.242385981739,1453.078297897672,4149351
2026-02-11,1481.4769027031227,1501.3456834456242,1432.6879991272278,1457.4355263733926,1428942
2026-02-12,1436.3974869257067,1489.6332684325569,1426.9945531310423,1455.851048977661,4417077
2026-02-13,1452.286691856721,1493.2143329958842,1404.4019172948617,1455.6012618030998,2248282
2026-02-14,1452.3987304174734,1468.8006646832457,1430.6295586123586,1459.128311440496,1802440
2026-02-15,1439.1945369324678,1492.3579070978321,1426.3585128034504,1457.314544783532,4958277
2026-02-16,1453.6540866264643,1495.715068741998,1432.4858539461045,1456.538686829496,4088366
2026-02-17,1467.2085833864437,1509.3377022886448,1450.21163652494,1454.9626842537,2796694
2026-02-18,1439.30821992737,1477.6787535915532,1430.295284554732,1455.9558926693205,4266362
2026-02-19,1448.706724540559,1471.9006956213439,1430.79489895322,1452.309019222324,4718018
2026-02-20,1439.3549574634098,1476.0590692465275,1436.2590946456755,1455.0102563099438,2960229
2026-02-21,1453.4912363050921,1471.05033676796,1447.1573066485012,1455.0192963732336,2770846
